,model,cross_k,threshold,precision,recall,AUC ROC
31,RF,1,0.1,0.2652650209026273,0.2652650209026273,0.6667299892355861
32,RF,1,0.05,0.25690396997345216,0.25690396997345216,0.6667299892355861
33,RF,1,0.02,0.256812425620213,0.256812425620213,0.6667299892355861
34,RF,1,0.01,0.256812425620213,0.256812425620213,0.6667299892355861
35,GB,1,0.5,0.6859113240364957,0.6859113240364957,0.6268873143841139
36,GB,1,0.3,0.6050166305575051,0.6050166305575051,0.6268873143841139
37,GB,1,0.2,0.5501815629672576,0.5501815629672576,0.6268873143841139
38,GB,1,0.1,0.4591864758475481,0.4591864758475481,0.6268873143841139
39,GB,1,0.05,0.37627780659729637,0.37627780659729637,0.6268873143841139
40,GB,1,0.02,0.29855665069726284,0.29855665069726284,0.6268873143841139
41,GB,1,0.01,0.2703915046840194,0.2703915046840194,0.6268873143841139
42,KNN,2,0.5,0.6716726370901075,0.6716726370901075,0.6114418649149563
43,KNN,2,0.3,0.5756865986956922,0.5756865986956922,0.6114418649149563
44,KNN,2,0.2,0.4799301919720768,0.4799301919720768,0.6114418649149563
45,KNN,2,0.1,0.3782492881418205,0.3782492881418205,0.6114418649149563
46,KNN,2,0.05,0.3782492881418205,0.3782492881418205,0.6114418649149563
47,KNN,2,0.02,0.3782492881418205,0.3782492881418205,0.6114418649149563
48,KNN,2,0.01,0.3782492881418205,0.3782492881418205,0.6114418649149563
49,DT,2,0.5,0.6431523835767429,0.6431523835767429,0.5781528366959645
50,DT,2,0.3,0.6276292826306604,0.6276292826306604,0.5781528366959645
51,DT,2,0.2,0.6038853678699366,0.6038853678699366,0.5781528366959645
52,DT,2,0.1,0.5670065215394507,0.5670065215394507,0.5781528366959645
53,DT,2,0.05,0.5219527877284835,0.5219527877284835,0.5781528366959645
54,DT,2,0.02,0.5078074768072013,0.5078074768072013,0.5781528366959645
55,DT,2,0.01,0.5023422430421604,0.5023422430421604,0.5781528366959645
56,LR,2,0.5,0.6866446220262699,0.6866446220262699,0.6840953192888548
57,LR,2,0.3,0.6894920547441903,0.6894920547441903,0.6840953192888548
58,LR,2,0.2,0.6208781115091393,0.6208781115091393,0.6840953192888548
59,LR,2,0.1,0.4551758978598328,0.4551758978598328,0.6840953192888548
60,LR,2,0.05,0.33912005143749424,0.33912005143749424,0.6840953192888548
61,LR,2,0.02,0.3172131900431708,0.3172131900431708,0.6840953192888548
62,LR,2,0.01,0.31597317902085054,0.31597317902085054,0.6840953192888548
63,SVM,2,-1.0,0.3710847800128594,0.3710847800128594,0.0
64,SVM,2,-0.8,0.48346651970239735,0.48346651970239735,0.0
65,SVM,2,-0.6,0.6047579682189768,0.6047579682189768,0.0
66,SVM,2,-0.4,0.6837512629741894,0.6837512629741894,0.0
67,SVM,2,-0.3,0.6946817305042712,0.6946817305042712,0.0
68,SVM,2,-0.1,0.6898594654174703,0.6898594654174703,0.0
69,SVM,2,0.0,0.6863231376871498,0.6863231376871498,0.0
70,RF,2,0.5,0.6858638743455497,0.6858638743455497,0.6865377063077875
71,RF,2,0.3,0.6478827959952237,0.6478827959952237,0.6865377063077875
72,RF,2,0.2,0.5117112152108019,0.5117112152108019,0.6865377063077875
73,RF,2,0.1,0.3360429870487738,0.3360429870487738,0.6865377063077875
74,RF,2,0.05,0.31592725268669053,0.31592725268669053,0.6865377063077875
75,RF,2,0.02,0.3158813263525305,0.3158813263525305,0.6865377063077875
